1700,3,2,7,5,235000
1840,4,2,8,6,255000
2010,3,3,9,7,290000
1780,4,2,7,5,245000
2070,5,3,8,6,300000
1900,3,2,6,4,260000
1480,2,1,5,3,195000
1340,3,1,6,4,185000
1740,4,2,7,5,250000
2290,5,3,9,7,340000
1410,2,1,5,3,175000
1640,3,2,7,5,225000
1790,4,3,8,6,265000
1950,3,2,7,5,270000
2030,4,2,6,4,255000
1600,3,2,7,5,220000
1710,4,2,8,6,240000
1920,3,3,9,7,275000
1790,4,2,7,5,255000
2170,5,3,8,6,315000
1680,3,2,7,5,230000
1820,4,2,8,6,250000
1990,3,3,9,7,285000
1760,4,2,7,5,240000
2050,5,3,8,6,295000
1880,3,2,6,4,255000
1450,2,1,5,3,190000
1310,3,1,6,4,180000
1710,4,2,7,5,245000
2250,5,3,9,7,335000
1390,2,1,5,3,170000
1620,3,2,7,5,220000
1770,4,3,8,6,260000
1930,3,2,7,5,265000
2010,4,2,6,4,250000
1580,3,2,7,5,215000
1690,4,2,8,6,235000
1900,3,3,9,7,270000
1770,4,2,7,5,250000
2150,5,3,8,6,310000
1620,3,2,7,5,225000
1780,4,2,8,6,245000
1950,3,3,9,7,280000
1720,4,2,7,5,235000
2000,5,3,8,6,290000
1850,3,2,6,4,250000
1420,2,1,5,3,185000
1280,3,1,6,4,175000
1670,4,2,7,5,240000
2210,5,3,9,7,330000
1370,2,1,5,3,165000
1580,3,2,7,5,215000
1730,4,3,8,6,255000
1890,3,2,7,5,260000
1970,4,2,6,4,245000
1550,3,2,6,4,210000
1650,4,2,7,5,230000
1850,3,3,8,6,260000
1950,4,2,7,5,240000
2050,5,3,9,7,280000
1750,3,2,6,4,220000
1450,2,1,5,3,180000
1250,3,1,6,4,170000
1650,4,2,7,5,230000
2150,5,3,8,6,300000
1400,2,1,5,3,170000
1600,3,2,7,5,220000
1700,4,3,8,6,250000
1850,3,2,7,5,230000
1950,4,2,6,4,240000
1500,3,2,7,5,200000
1800,4,3,8,6,250000
1200,2,1,5,3,150000
2000,5,4,9,7,300000
1600,3,2,6,4,220000
1400,2,2,7,4,180000
1700,4,3,8,6,240000
1300,3,1,6,3,170000
1900,4,2,7,5,230000
2200,5,3,9,7,320000
1350,2,1,5,3,160000
1750,3,2,7,5,210000
